# Consensus free energy distributions from WHAM: 
#   F(x) [in k_B*T] with T = 300 K
#   where x = Ntilde_v
# x	F[kBT]  NumSamples
       0	  51.818     342
       1	  48.732     695
       2	  46.281     646
       3	  44.195     506
       4	  42.071     559
       5	  40.292     458
       6	  38.474     336
       7	  36.623     268
       8	  34.871     345
       9	  32.892     455
      10	  31.072     408
      11	  29.132     313
      12	  27.379     235
      13	  25.403     317
      14	  23.603     362
      15	  21.601     396
      16	   19.42     345
      17	  17.292     294
      18	  15.254     293
      19	  13.095     481
      20	  11.051     550
      21	  9.1894     503
      22	  7.6188     516
      23	   6.184     567
      24	  4.8438     581
      25	  3.8832     529
      26	  3.0948     590
      27	  2.3053     661
      28	  1.9064     466
      29	   1.693     342
      30	  1.6533     298
      31	  2.0656     191
      32	  2.3654     141
      33	  2.9701      77
      34	  3.7875      34
